# [0]ell [1]TgradT [2]EgradE [3]BgradB [4]TgradE
1.400000000000000000e+02 4.047852889201129983e+03 1.127972113880136407e+00 9.287620441258540027e-03 -4.448094658164458792e+01
1.410000000000000000e+02 4.082049157942255533e+03 1.127861306417097476e+00 9.418791921962614902e-03 -4.473500743656193634e+01
1.420000000000000000e+02 4.116156087257615582e+03 1.127257276615263759e+00 9.550946706581703999e-03 -4.496863409100843256e+01
1.430000000000000000e+02 4.150174130408227029e+03 1.126167742527503179e+00 9.684087943112602848e-03 -4.518153403192500406e+01
1.440000000000000000e+02 4.184081493574020897e+03 1.124600126613254814e+00 9.818214450891557185e-03 -4.537326681235670378e+01
1.450000000000000000e+02 4.217878632608966655e+03 1.122547366213128894e+00 9.953329036534555238e-03 -4.554331838075973593e+01
1.460000000000000000e+02 4.251536367276505189e+03 1.120024282973918206e+00 1.008943016031502334e-02 -4.569147036301531273e+01
1.470000000000000000e+02 4.285047765260829692e+03 1.117038605572881149e+00 1.022652026276205627e-02 -4.581713507328099411e+01
1.480000000000000000e+02 4.318398437375242793e+03 1.113590376439232532e+00 1.036459740576337399e-02 -4.592002049586629653e+01
1.490000000000000000e+02 4.351574063536535505e+03 1.109687330536757166e+00 1.050366364969385242e-02 -4.599968709821975921e+01
1.500000000000000000e+02 4.384560261438693487e+03 1.105336907346569975e+00 1.064371651609488656e-02 -4.605569533768441914e+01
1.510000000000000000e+02 4.417335165029689961e+03 1.100546862748279731e+00 1.078475799518287780e-02 -4.608775291870431801e+01
1.520000000000000000e+02 4.449905752595225749e+03 1.095324559080981253e+00 1.092678527582528064e-02 -4.609556395715598853e+01
1.530000000000000000e+02 4.482256738177116858e+03 1.089685118297166522e+00 1.106979912674322872e-02 -4.607883199917795736e+01
1.540000000000000000e+02 4.514387549469771329e+03 1.083643318317334847e+00 1.121379662948737352e-02 -4.603740831351213814e+01
1.550000000000000000e+02 4.546290290263606039e+03 1.077199483446601214e+00 1.135877828397203332e-02 -4.597092282188592804e+01
1.560000000000000000e+02 4.577971775308415090e+03 1.070375789977985548e+00 1.150474057693225485e-02 -4.587922705106802823e+01
1.570000000000000000e+02 4.609409335588231443e+03 1.063172566733384672e+00 1.165168353674943431e-02 -4.576202507990014112e+01
1.580000000000000000e+02 4.640609786884835557e+03 1.055619378780778828e+00 1.179960312366353653e-02 -4.561909482867515919e+01
1.590000000000000000e+02 4.671557850532520206e+03 1.047716560457409463e+00 1.194849885426478922e-02 -4.545021452223739544e+01
1.600000000000000000e+02 4.702245573041847820e+03 1.039486291991277733e+00 1.209836616602348244e-02 -4.525523620225401800e+01
1.610000000000000000e+02 4.732650298556586677e+03 1.030943683064569738e+00 1.224920403520327744e-02 -4.503386451749172181e+01
1.620000000000000000e+02 4.762764079544324886e+03 1.022103528813667284e+00 1.240100735940898036e-02 -4.478602563323938313e+01
1.630000000000000000e+02 4.792579034840209715e+03 1.012995708981515808e+00 1.255377455223833684e-02 -4.451135065892729870e+01
1.640000000000000000e+02 4.822072455027161595e+03 1.003620253962818287e+00 1.270749995727182315e-02 -4.420983986750850647e+01
1.650000000000000000e+02 4.851243847626990828e+03 9.939996631934189253e-01 1.286218141592140873e-02 -4.388119850427803925e+01
1.660000000000000000e+02 4.880077891715147416e+03 9.841561161286184189e-01 1.301781269537729234e-02 -4.352535327607451165e+01
1.670000000000000000e+02 4.908566716199417897e+03 9.741121108238220971e-01 1.317439103847275680e-02 -4.314215735411696073e+01
1.680000000000000000e+02 4.936702387162594277e+03 9.638898244424601858e-01 1.333190962720164768e-02 -4.273168529281766581e+01
1.690000000000000000e+02 4.964477036945357213e+03 9.535117563247648143e-01 1.349036509942355341e-02 -4.229379051163246572e+01
1.700000000000000000e+02 4.991882736375002423e+03 9.429927018587932475e-01 1.364975006954620776e-02 -4.182840020907150347e+01
1.710000000000000000e+02 5.018904242892453112e+03 9.323625373863562160e-01 1.381006051163393387e-02 -4.133544188363048022e+01
1.720000000000000000e+02 5.045548389283514553e+03 9.216434385125280571e-01 1.397128842671202520e-02 -4.081491677646059202e+01
1.730000000000000000e+02 5.071792559988768517e+03 9.108578984022411840e-01 1.413342917965619561e-02 -4.026675264170934554e+01
1.740000000000000000e+02 5.097628836746737761e+03 9.000280920411716234e-01 1.429647413452584878e-02 -3.969095096210025986e+01
1.750000000000000000e+02 5.123056742838780337e+03 8.891912654999851728e-01 1.446041809255224631e-02 -3.908766103904606837e+01
1.760000000000000000e+02 5.148061124730295887e+03 8.783622060720390756e-01 1.462525175902644123e-02 -3.845681161399016190e+01
1.770000000000000000e+02 5.172634825136265135e+03 8.675781757947488293e-01 1.479096918250605124e-02 -3.779840874171138410e+01
1.780000000000000000e+02 5.196763387855587098e+03 8.568613517313833361e-01 1.495756053919315882e-02 -3.711253296959084480e+01
1.790000000000000000e+02 5.220447172308488916e+03 8.462342374646796284e-01 1.512501920109098411e-02 -3.639919138391562825e+01
